WEATHER,LOCATION,DATE,TAVG,TMAX,TMIN
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/5/2000,48,58,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/6/2000,47,59,35
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/7/2000,56,74,37
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/8/2000,69,78,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/9/2000,61,73,48
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/10/2000,41,49,33
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/11/2000,39,44,33
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/12/2000,33,37,28
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/13/2000,36,45,26
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/14/2000,45,57,33
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/15/2000,54,68,40
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/16/2000,47,58,36
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/17/2000,30,37,23
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/18/2000,33,46,19
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/19/2000,46,57,35
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/20/2000,43,47,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/21/2000,40,42,37
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/22/2000,44,53,35
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/23/2000,53,59,46
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/24/2000,56,70,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/25/2000,65,74,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/26/2000,50,58,42
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/27/2000,47,56,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/28/2000,42,48,35
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/29/2000,44,51,37
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/30/2000,44,53,34
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/31/2000,46,59,33
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/1/2000,51,67,35
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/2/2000,55,60,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/3/2000,61,67,54
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/4/2000,43,54,31
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/5/2000,40,50,30
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/6/2000,56,67,45
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/7/2000,47,52,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/8/2000,40,50,30
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/9/2000,34,41,27
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/10/2000,42,51,32
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/11/2000,45,51,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/12/2000,39,45,32
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/13/2000,42,55,29
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/14/2000,55,72,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/15/2000,66,78,54
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/16/2000,68,79,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/17/2000,58,66,49
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/18/2000,50,56,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/19/2000,51,58,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/20/2000,64,77,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/21/2000,51,59,43
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/22/2000,46,48,43
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/23/2000,51,58,43
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/24/2000,56,67,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/25/2000,56,66,46
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/26/2000,49,60,37
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/27/2000,46,57,35
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/28/2000,55,67,42
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/29/2000,59,70,47
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/30/2000,57,68,45
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/1/2000,60,74,45
