WEATHER,LOCATION,DATE,TMAX,TAVG,TMIN
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/8/2010,,50,25
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/9/2010,,57,29
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/10/2010,,65,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/11/2010,,67,42
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/12/2010,,60,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/13/2010,,50,39
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/14/2010,,46,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/15/2010,,43,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/16/2010,,60,37
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/17/2010,,63,34
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/18/2010,,64,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/19/2010,,66,45
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/20/2010,,69,45
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/21/2010,,73,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/22/2010,,72,46
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/23/2010,,46,37
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/24/2010,,59,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/25/2010,,64,37
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/26/2010,,44,30
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/27/2010,,55,27
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/28/2010,,48,39
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/29/2010,,52,42
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/30/2010,,53,33
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/31/2010,,65,36
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/1/2010,,81,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/2/2010,,85,54
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/3/2010,,85,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/4/2010,,70,51
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/5/2010,,79,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/6/2010,,86,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/7/2010,,82,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/8/2010,,75,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/9/2010,,43,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/10/2010,,62,35
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/11/2010,,71,43
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/12/2010,,66,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/13/2010,,53,42
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/14/2010,,63,37
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/15/2010,,80,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/16/2010,,80,51
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/17/2010,,51,39
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/18/2010,,46,36
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/19/2010,,62,36
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/20/2010,,64,39
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/21/2010,,67,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/22/2010,,68,43
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/23/2010,,68,43
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/24/2010,,66,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/25/2010,,76,53
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/26/2010,,60,49
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/27/2010,,53,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/28/2010,,53,32
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/29/2010,,65,34
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",4/30/2010,,81,45
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/1/2010,,85,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/2/2010,,70,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/3/2010,,77,62
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/4/2010,,73,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/5/2010,,80,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/6/2010,,70,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/7/2010,,81,47
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/8/2010,,79,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/9/2010,,52,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/10/2010,,59,34
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/11/2010,,59,42
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/12/2010,,59,51
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/13/2010,,75,47
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/14/2010,,81,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/15/2010,,71,53
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/16/2010,,69,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/17/2010,,60,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/18/2010,,61,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/19/2010,,66,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/20/2010,,79,49
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/21/2010,,77,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/22/2010,,70,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/23/2010,,78,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/24/2010,,78,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/25/2010,,82,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/26/2010,,86,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/27/2010,,86,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/28/2010,,85,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/29/2010,,83,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/30/2010,,85,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/31/2010,,83,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/1/2010,,79,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/2/2010,,83,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/3/2010,,77,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/4/2010,,84,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/5/2010,,76,66
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/6/2010,,76,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/7/2010,,70,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/8/2010,,72,49
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/9/2010,,70,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/10/2010,,78,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/11/2010,,79,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/12/2010,,86,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/13/2010,,81,69
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/14/2010,,79,66
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/15/2010,,78,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/16/2010,,83,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/17/2010,,71,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/18/2010,,82,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/19/2010,,87,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/20/2010,,82,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/21/2010,,84,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/22/2010,,84,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/23/2010,,87,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/24/2010,,82,67
